almond 杏仁
apple 苹果
apricot 杏子
arbutus 杨梅
avocado 南美梨
bagasse 甘蔗渣
banana 香蕉
bennet 水杨梅
bergamot 佛手柑
berry 桨果
betelnut 槟榔
bilberry 野桑果
blackberry 刺梅
blackbrin 黑布林
blueberry 蓝莓
bryony 野葡萄
bullace 野李子
cantaloupe 美国甜瓜
carambola 杨桃
casaba 冬季甜瓜
cascara 鼠李
cherry 樱桃
chestnut 栗子
coconut 椰子
cocoa 可可果
codlin 未熟苹果
core 果心
cranberry 曼越桔
cucumber 黄瓜
cumquat 金桔
damson 洋李子
date 枣子
dew 果露
durian 榴莲
fig 无花果
filbert 榛子
foxnut 鸡头果
ginkgo 银杏
gooseberry 醋栗
grape 葡萄
grapefruit 葡萄柚子
guava 番石榴
haw 山楂
hickory 山胡桃
kiwifruit 猕猴桃
pineapple 菠萝
strawberry 草莓
